condition,seed,basin,negative_day_fraction,maximum_deficit_mm,nse_decline
zero_L730,47,08190500,1.0,17.83177947998047,85.30741864442825
zero_L730,47,11522500,1.0,12.629953384399414,-0.010077834129333496
zero_L730,47,12383500,0.8162650602409639,0.4728285074234009,-0.005764782428741455
zero_L730,47,12035000,1.0,22.182029724121094,0.027620255947113037
zero_L730,47,09404450,0.9989047097480832,71.53741455078125,16.885143876075745
zero_L730,47,02300700,1.0,24.9591121673584,0.7219610810279846
zero_L730,47,06280300,0.4372946330777656,5.110992431640625,0.02873629331588745
zero_L730,47,09513780,1.0,43.160099029541016,1.4649866223335266
zero_L730,47,03455500,0.9455093099671413,14.346208572387695,0.4066498875617981
zero_L730,47,09047700,0.5125958378970427,7.363588333129883,0.5853682160377502
zero_L730,47,12411000,0.6495071193866374,26.692033767700195,0.26685041189193726
zero_L730,47,14138870,1.0,20.862680435180664,0.11944544315338135
zero_L730,47,01434025,1.0,18.605871200561523,0.2478901743888855
zero_L730,47,08158810,1.0,238.89364624023438,0.25766825675964355
zero_L730,47,02363000,1.0,169.1448974609375,2.5724096298217773
zero_L730,47,10259000,1.0,78.697998046875,1.7796313762664795
zero_L730,47,04024430,0.9983570646221248,48.8601188659668,1.5951415300369263
zero_L1095,11,03364500,1.0,187.1007843017578,0.5753716826438904
zero_L1095,11,11230500,0.09802847754654984,6.673216819763184,0.020326077938079834
zero_L1095,11,11151300,0.9882256297918949,7.444211959838867,31.15997749567032
zero_L1095,11,07208500,0.9997261774370209,52.6054801940918,2.287824809551239
zero_L1095,11,12092000,0.9761774370208105,6.6274614334106445,-0.0028685927391052246
zero_L1095,11,06350000,0.9997261774370209,8.953094482421875,1.9346837997436523
zero_L1095,11,11475560,0.8332420591456736,127.04826354980469,0.02320784330368042
zero_L1095,11,08190500,1.0,13.702296257019043,64.66792368888855
zero_L1095,11,11522500,0.4427710843373494,19.80255699157715,0.03731048107147217
zero_L1095,11,12383500,0.45673603504928806,4.611334800720215,0.049379944801330566
zero_L1095,11,12035000,1.0,15.47516918182373,0.01339036226272583
zero_L1095,11,09404450,0.9422234392113911,6.8085455894470215,15.84837657213211
zero_L1095,11,02300700,1.0,78.34909057617188,0.6320838332176208
zero_L1095,11,06280300,0.3329682365826944,5.1551289558410645,-0.0012845396995544434
zero_L1095,11,09513780,0.9824753559693319,7.660618305206299,0.2689177989959717
zero_L1095,11,03455500,0.9786418400876232,17.116178512573242,0.2432512640953064
zero_L1095,11,09047700,0.609802847754655,25.243745803833008,5.47344446182251
zero_L1095,11,12411000,0.5191675794085433,53.79574203491211,0.06018233299255371
zero_L1095,11,14138870,1.0,61.62159729003906,0.07818847894668579
zero_L1095,11,01434025,0.9972617743702081,7.4249587059021,0.11275458335876465
zero_L1095,11,08158810,0.9972617743702081,113.80873107910156,0.29940265417099
zero_L1095,11,02363000,1.0,245.26034545898438,1.3948359489440918
zero_L1095,11,10259000,0.7880613362541073,7.564970970153809,0.869704008102417
zero_L1095,11,04024430,1.0,116.60301971435547,1.2380809783935547
zero_L1095,29,03364500,0.9997261774370209,110.33645629882812,0.856045126914978
zero_L1095,29,11230500,0.008214676889375685,8.193775177001953,0.00036776065826416016
