seed,same_checkpoint_median_nse_cost,after_feasible_retraining_median_nse_gap,median_recovery_fraction,eligible_basin_count
11,0.25624018907546997,-0.0010485649108886719,0.9897597918717291,16
29,0.2886674702167511,0.01149827241897583,0.9719429783178036,15
47,0.43132293224334717,-0.0024641454219818115,1.0027122309086398,17
