basin,focal_fraction,focal_index,runoff_raw_singleton_mm_day,runoff_raw_early_context_256_mm_day,runoff_raw_late_context_256_mm_day,runoff_raw_repeated_focal_256_mm_day,maximum_pairwise_context_effect_raw_mm_day,maximum_relative_context_effect_raw
03364500,0.2,730,0.16574811935424805,-0.0995224118232727,-0.1039174273610115,-0.10666002333164215,0.2724081426858902,1.6435066880226927
03364500,0.4,1460,-0.0009187098476104438,-0.1291578710079193,-0.13099396228790283,-0.13115283846855164,0.1302341286209412,141.75762778605127
03364500,0.6,2191,0.22382190823554993,0.29735666513442993,0.29996371269226074,0.3030344843864441,0.07921257615089417,0.35390894830335795
03364500,0.8,2921,0.24223701655864716,-0.07348698377609253,-0.081247478723526,-0.08501389622688293,0.3272509127855301,1.3509533655699584
11475560,0.2,730,-0.003487208392471075,-0.33261942863464355,-0.3315039277076721,-0.32965871691703796,0.3291322202421725,94.3827219941237
11475560,0.4,1460,0.0030188877135515213,-0.25947922468185425,-0.2590535283088684,-0.2580901086330414,0.26249811239540577,86.95192975117122
11475560,0.6,2191,-0.004463115241378546,-0.301582396030426,-0.3003261685371399,-0.29828906059265137,0.2971192807890475,66.57217318396526
11475560,0.8,2921,-0.0369931161403656,-0.3064391016960144,-0.3066468834877014,-0.30624645948410034,0.2696537673473358,7.2892958334239655
02300700,0.2,730,-0.06892228126525879,1.518925428390503,1.5356621742248535,1.5456475019454956,1.6145697832107544,23.425948090673547
02300700,0.4,1460,1.0118451118469238,3.319984197616577,3.357449531555176,3.372865676879883,2.361020565032959,2.333381401352408
02300700,0.6,2191,-0.04956115409731865,1.08226478099823,1.090339183807373,1.0929553508758545,1.1425165049731731,23.052661419661845
02300700,0.8,2921,1.2107441425323486,0.8226393461227417,0.8469483852386475,0.8563967347145081,0.38810479640960693,0.32055062896927256
14138870,0.2,730,0.014362797141075134,0.8522930145263672,0.8872477412223816,0.8493198752403259,0.8728849440813065,60.77402162737545
14138870,0.4,1460,-0.048851512372493744,1.4058542251586914,1.426161766052246,1.400985598564148,1.4750132784247398,30.193809910688834
14138870,0.6,2191,0.20270583033561707,0.5575923323631287,0.5839090943336487,0.5664421319961548,0.3812032639980316,1.8805737524514168
14138870,0.8,2921,0.026827776804566383,1.7796454429626465,1.8375146389007568,1.796673059463501,1.8106868620961905,67.49298964601464
04024430,0.2,730,0.8386862277984619,0.8105194568634033,0.809604287147522,0.8130817413330078,0.02908194065093994,0.03467559104586655
04024430,0.4,1460,0.41423118114471436,0.6719602942466736,0.6718080639839172,0.6736805438995361,0.2594493627548218,0.6263395286608843
04024430,0.6,2191,0.4774267077445984,-0.11341629922389984,-0.11629115045070648,-0.13404500484466553,0.6114717125892639,1.28076561840854
04024430,0.8,2921,1.0437654256820679,0.8571345806121826,0.8535116910934448,0.8433609008789062,0.20040452480316162,0.19200149753207582
