seed,basin,unconstrained_nse,same_checkpoint_projected_nse,feasible_retrained_nse,same_checkpoint_nse_loss,eligible_recovery_case,recovery_fraction,paired_nse_gap_unconstrained_minus_feasible,unconstrained_kge,feasible_retrained_kge,paired_kge_gap_unconstrained_minus_feasible,unconstrained_rmse_mm_day,feasible_retrained_rmse_mm_day,unconstrained_bias_ratio,feasible_retrained_bias_ratio
11,01434025,0.5596179366111755,0.446861207485199,0.5195697546005249,0.11275672912597656,True,0.6448266784512069,0.040048182010650635,0.6994687455496227,0.6780314005013959,0.021437345048226808,3.314875602722168,3.462322950363159,1.04051673412323,0.9825068712234497
11,02300700,0.53484046459198,-0.06580257415771484,0.6197906732559204,0.6006430387496948,True,1.1414321039011353,-0.08495020866394043,0.6884905619328079,0.6590806773120357,0.02940988462077221,2.96209454536438,2.677992343902588,1.1910656690597534,1.2189406156539917
11,02363000,0.805493950843811,-0.572172999382019,0.7309454679489136,1.37766695022583,True,0.9458878774128411,0.07454848289489746,0.8332840903998902,0.8023309025071016,0.03095318789278856,0.7700686454772949,0.9056972861289978,1.131382942199707,1.1183581352233887
11,03364500,0.6827943325042725,0.10742223262786865,0.6433345079421997,0.5753720998764038,True,0.9314185992498608,0.039459824562072754,0.723733407446023,0.7119664908345222,0.011766916611500755,1.9536430835723877,2.071597099304199,0.952770471572876,1.0055241584777832
11,03455500,0.5847426652908325,0.34114229679107666,0.5756523013114929,0.24360036849975586,True,0.9626832913458885,0.0090903639793396,0.7651036254524937,0.7392530171769804,0.02585060827551322,2.6908833980560303,2.7201766967773438,1.1021430492401123,1.0998212099075317
11,04024430,0.7909727096557617,-0.4476257562637329,0.7143878936767578,1.2385984659194946,True,0.9381681649975645,0.0765848159790039,0.8821590584643634,0.7164354097600432,0.16572364870432021,0.6629334688186646,0.774919867515564,1.0411195755004883,1.2200629711151123
11,06280300,0.8471181392669678,0.8524078130722046,0.8471720218658447,-0.005289673805236816,False,,-5.3882598876953125e-05,0.8910514748145356,0.8360938458823353,0.05495762893220035,0.6581496000289917,0.6580336093902588,0.9378666877746582,0.999504804611206
11,06350000,0.47487741708755493,-1.2753851413726807,0.553586483001709,1.7502625584602356,True,1.044969862112229,-0.07870906591415405,0.38663460973403185,0.4427218265773699,-0.05608721684333806,0.30727633833885193,0.2833136320114136,0.9094023704528809,1.0046690702438354
11,07208500,0.6426289677619934,-1.6083290576934814,0.6534173488616943,2.250958025455475,True,1.0047927953243454,-0.010788381099700928,0.7621797035666605,0.6839270527926162,0.07825265077404431,0.15903128683567047,0.15661244094371796,0.8345329165458679,1.2190766334533691
11,08158810,0.45363175868988037,0.15461379289627075,0.52290940284729,0.2990179657936096,True,1.2316838855268883,-0.06927764415740967,0.5041126793101687,0.641086272157555,-0.1369735928473863,1.6985324621200562,1.5871996879577637,0.9292541742324829,1.0116591453552246
11,08190500,0.0731513500213623,-33.7486572265625,-0.7060196399688721,33.82180857658386,True,0.9769624682185185,0.7791709899902344,0.20674746156564372,0.014309843135902334,0.19243761842974139,0.35320526361465454,0.47919774055480957,1.6571245193481445,1.6543147563934326
