seed,basin,nse_unconstrained_original,nse_unconstrained_fixed_reachable,nse_feasible_retrained,kge_unconstrained_original,kge_feasible_retrained,rmse_unconstrained_original_mm_day,rmse_feasible_retrained_mm_day,bias_ratio_unconstrained_original,bias_ratio_feasible_retrained,transfer_gap_nse,same_checkpoint_penalty_nse,recovery_fraction,high_skill_unconstrained_original,recovery_eligible,transfer_gap_within_0_10,recovery_at_least_0_80,feasible_retrained_beats_fixed_projection
11,01022500,0.5939282178878784,0.3622589111328125,0.6334139108657837,0.6837325064744686,0.6550906589206147,1.7579820156097412,1.6703250408172607,1.1701529026031494,1.0450819730758667,-0.0394856929779052,0.2316693067550659,1.1704398978482369,True,True,True,True,True
11,01031500,0.6414082646369934,0.5539127588272095,0.4932295083999634,0.6118276998182197,0.4479186789480966,2.052699089050293,2.440230369567871,1.213975429534912,0.9332587122917176,0.14817875623703,0.0874955058097839,-0.693558484697169,True,True,False,False,False
11,01047000,0.5574759244918823,0.4257700443267822,0.482202410697937,0.5474883573744951,0.4791291855120473,2.2725112438201904,2.4582018852233887,1.179295778274536,1.0240240097045898,0.0752735137939453,0.1317058801651001,0.4284726414675936,True,True,True,False,True
11,01052500,0.6122169494628906,0.6011868715286255,0.4176198244094848,0.5654434960789838,0.3726504803367322,2.3501996994018555,2.8801400661468506,1.1856216192245483,0.8105730414390564,0.1945971250534057,0.0110300779342651,,True,False,False,False,False
11,01054200,0.4617930650711059,0.4264612197875976,0.4824355840682983,0.4158779646455598,0.4204216068041476,3.585371494293213,3.515942096710205,1.0992584228515625,0.9487965106964112,-0.0206425189971923,0.0353318452835083,,False,False,True,False,True
11,01055000,0.5183446407318115,0.4848766326904297,0.5048207640647888,0.5168236722525494,0.4769310864269819,2.695497274398804,2.7330775260925293,1.166400671005249,0.9324462413787842,0.0135238766670227,0.0334680080413818,,True,False,True,False,True
11,01057000,0.54804527759552,0.1780044436454773,0.492825984954834,0.6420416576334572,0.5133815565187714,2.045675754547119,2.1670446395874023,1.1681474447250366,1.331034541130066,0.055219292640686,0.3700408339500427,0.8507751372970344,True,True,True,True,True
11,01073000,0.6328579783439636,0.4789429306983948,0.7457500696182251,0.4279000754653124,0.7552422797850424,2.1362874507904053,1.7777595520019531,1.546570062637329,1.1336811780929563,-0.1128920912742614,0.1539150476455688,1.7334701382429232,True,True,True,True,True
11,01078000,0.4063315987586975,-0.1685270071029663,0.3452381491661072,0.5528112797138616,0.3567792292055638,2.050024509429932,2.1529242992401123,1.2935848236083984,1.5087158679962158,0.0610934495925903,0.5748586058616638,0.8937243889721083,False,True,True,True,True
11,01123000,0.5423578023910522,0.1736068129539489,0.6422466039657593,0.4062714198163898,0.6053950357657765,1.7737842798233032,1.568301796913147,1.5696954727172852,1.1925101280212402,-0.099888801574707,0.3687509894371032,1.2708841587847313,True,True,True,True,True
11,01134500,0.418430745601654,0.370032250881195,0.4869855046272278,0.4465535965652958,0.5940504034920578,2.229544878005981,2.094017505645752,1.3594567775726318,1.0735639333724976,-0.0685547590255737,0.0483984947204589,,False,False,True,False,True
11,01137500,0.4293950796127319,0.2915346026420593,0.4861519932746887,0.503254722895476,0.5006102396178308,2.462831735610962,2.3371376991271973,1.1067585945129397,1.017621994018555,-0.0567569136619567,0.1378604769706726,1.411698224967195,False,True,True,True,True
11,01139000,0.1223283410072326,0.03836590051651,0.5842823386192322,0.1863983834140546,0.7538765055222985,1.7355953454971311,1.194487690925598,1.6136616468429563,1.0680124759674072,-0.4619539976119995,0.0839624404907226,6.50191246123965,False,True,True,True,True
11,01139800,-0.0955945253372192,-0.4697835445404053,0.3780831694602966,0.4293277691921592,0.6770369101769619,1.953236103057861,1.4716209173202517,1.370394945144653,0.9030801653862,-0.4736776947975158,0.374189019203186,2.2658781270657946,False,True,True,True,True
11,01142500,0.3052282929420471,0.2168563604354858,0.6241730451583862,0.3636082142508919,0.7034665970079134,1.8475866317749023,1.3588693141937256,1.462905764579773,0.8599820137023926,-0.3189447522163391,0.0883719325065612,4.609118225321809,False,True,True,True,True
11,01144000,0.4806075692176819,0.3067959547042846,0.6323606371879578,0.469322546378619,0.6330148387438772,1.703097939491272,1.4328569173812866,1.4156874418258667,0.944092869758606,-0.1517530679702758,0.1738116145133972,1.8730893409805989,False,True,True,True,True
11,01162500,0.3867023587226867,-0.1796841621398925,0.4878869652748108,0.5068128779445442,0.4439702480032221,1.9170609712600708,1.751794695854187,1.420831561088562,1.4583544731140137,-0.101184606552124,0.5663865208625793,1.178649390169146,False,True,True,True,True
11,01169000,0.6911195516586304,0.568747878074646,0.616274893283844,0.7134449441720827,0.5544011462876113,2.0209383964538574,2.252516508102417,1.084442377090454,0.905883014202118,0.0748446583747863,0.1223716735839843,0.3883824893232332,True,True,True,False,True
11,01170100,0.3424309492111206,0.2584862112998962,0.5474855899810791,0.4116051253024135,0.665907168764625,2.4305083751678467,2.016241788864136,1.489408254623413,1.0319526195526123,-0.2050546407699585,0.0839447379112243,3.442733706391623,False,True,True,True,True
11,01181000,0.6773389577865601,0.5767651796340942,0.6043039560317993,0.5854420004139138,0.5458949067610791,2.169426679611206,2.402439832687378,1.2642534971237185,0.9996439218521118,0.0730350017547607,0.1005737781524658,0.2738166637824563,True,True,True,False,True
11,01187300,0.6305160522460938,0.4783435463905334,0.5967305898666382,0.5144957953766707,0.5564976704748015,2.3479177951812744,2.452916145324707,1.4217033386230469,0.9917086362838744,0.0337854623794555,0.1521725058555603,0.7779791941421784,True,True,True,False,True
11,01195100,0.5858133435249329,0.1595051288604736,0.6386901140213013,0.4536595757598762,0.6049185540168139,1.7956593036651611,1.6771265268325806,1.5164180994033811,1.2028697729110718,-0.0528767704963684,0.4263082146644592,1.124034134641264,True,True,True,True,True
11,01333000,0.3224115371704101,0.0970165133476257,0.4687952995300293,0.5923642793899137,0.6929317875232173,2.293748617172241,2.0309243202209477,1.2452185153961182,0.9964904189109802,-0.1463837623596191,0.2253950238227844,1.6494542775474603,False,True,True,True,True
11,01350000,0.6916072368621826,0.562915563583374,0.6130281686782837,0.7370372036095743,0.6743214077892308,2.226006031036377,2.493525981903076,1.1179840564727783,0.9129601120948792,0.0785790681838989,0.1286916732788086,0.3894005246659701,True,True,True,False,True
11,01350080,0.4796953201293945,-0.0989543199539184,0.5027958154678345,0.5700334183324129,0.7273241013706984,1.881009817123413,1.838779091835022,1.3598709106445312,1.1280145645141602,-0.0231004953384399,0.578649640083313,1.0399213854779448,False,True,True,True,True
11,01350140,0.5359668731689453,0.1500440239906311,0.4622491002082824,0.6913606317195412,0.6405975708751004,2.1877403259277344,2.3551135063171387,1.124008297920227,1.1584142446517944,0.0737177729606628,0.3859228491783142,0.8089831345368156,True,True,True,True,True
11,01365000,0.6688199043273926,0.548040509223938,0.5666477680206299,0.8122396814744157,0.7280613539586924,2.2720963954925537,2.599053382873535,0.9457836747169496,0.8335958123207092,0.1021721363067627,0.1207793951034545,0.1540598773553526,True,True,False,False,True
