seed,basin,nse_unconstrained_original,nse_unconstrained_fixed_reachable,nse_feasible_retrained,kge_unconstrained_original,kge_feasible_retrained,rmse_unconstrained_original_mm_day,rmse_feasible_retrained_mm_day,bias_ratio_unconstrained_original,bias_ratio_feasible_retrained,transfer_gap_nse,same_checkpoint_penalty_nse,recovery_fraction,high_skill_unconstrained_original,recovery_eligible,transfer_gap_within_0_10,recovery_at_least_0_80,feasible_retrained_beats_fixed_projection
11,01022500,0.5939282178878784,0.3622589111328125,0.6334139108657837,0.6837325064744686,0.6550906589206147,1.7579820156097412,1.6703250408172607,1.1701529026031494,1.0450819730758667,-0.03948569297790527,0.23166930675506592,1.1704398978482369,True,True,True,True,True
11,01031500,0.6414082646369934,0.5539127588272095,0.4932295083999634,0.6118276998182197,0.44791867894809667,2.052699089050293,2.440230369567871,1.213975429534912,0.9332587122917175,0.14817875623703003,0.08749550580978394,-0.693558484697169,True,True,False,False,False
11,01047000,0.5574759244918823,0.4257700443267822,0.482202410697937,0.5474883573744951,0.4791291855120473,2.2725112438201904,2.4582018852233887,1.1792957782745361,1.0240240097045898,0.07527351379394531,0.1317058801651001,0.4284726414675936,True,True,True,False,True
11,01052500,0.6122169494628906,0.6011868715286255,0.41761982440948486,0.5654434960789838,0.3726504803367322,2.3501996994018555,2.8801400661468506,1.1856216192245483,0.8105730414390564,0.19459712505340576,0.011030077934265137,,True,False,False,False,False
11,01054200,0.46179306507110596,0.42646121978759766,0.48243558406829834,0.4158779646455598,0.42042160680414764,3.585371494293213,3.515942096710205,1.0992584228515625,0.9487965106964111,-0.020642518997192383,0.0353318452835083,,False,False,True,False,True
11,01055000,0.5183446407318115,0.4848766326904297,0.5048207640647888,0.5168236722525494,0.4769310864269819,2.6954972743988037,2.7330775260925293,1.166400671005249,0.9324462413787842,0.013523876667022705,0.033468008041381836,,True,False,True,False,True
11,01057000,0.54804527759552,0.1780044436454773,0.492825984954834,0.6420416576334572,0.5133815565187714,2.045675754547119,2.1670446395874023,1.1681474447250366,1.331034541130066,0.055219292640686035,0.3700408339500427,0.8507751372970344,True,True,True,True,True
11,01073000,0.6328579783439636,0.4789429306983948,0.7457500696182251,0.4279000754653124,0.7552422797850424,2.1362874507904053,1.7777595520019531,1.546570062637329,1.1336811780929565,-0.11289209127426147,0.15391504764556885,1.7334701382429232,True,True,True,True,True
11,01078000,0.4063315987586975,-0.1685270071029663,0.3452381491661072,0.5528112797138616,0.3567792292055638,2.0500245094299316,2.1529242992401123,1.2935848236083984,1.5087158679962158,0.06109344959259033,0.5748586058616638,0.8937243889721083,False,True,True,True,True
11,01123000,0.5423578023910522,0.17360681295394897,0.6422466039657593,0.4062714198163898,0.6053950357657765,1.7737842798233032,1.568301796913147,1.5696954727172852,1.1925101280212402,-0.09988880157470703,0.36875098943710327,1.2708841587847313,True,True,True,True,True
