basin_id,seed,status,original_nse,reachable_nse,nse_decline,negative_test_day_fraction,maximum_storage_deficit_mm,material_negative_storage,high_skill_original_path,nse_declines_under_ordered_path,huc_02,gauge_lat,gauge_lon,elev_mean,area_gages2,aridity,frac_snow,frac_forest,aridity_stratum,snow_stratum,area_stratum
01022500,11,complete,0.5939282178878784,0.3622589111328125,0.23166930675506592,0.6692223439211391,39.368919372558594,True,True,True,01,44.60797,-67.93524,92.68,573.6,0.587356423405076,0.245259009248271,0.9232,humid,snow-influenced,medium
01022500,29,complete,0.7284671068191528,0.44190293550491333,0.2865641713142395,0.676341730558598,88.04076385498047,True,True,True,01,44.60797,-67.93524,92.68,573.6,0.587356423405076,0.245259009248271,0.9232,humid,snow-influenced,medium
01022500,47,complete,0.5269199013710022,0.22695684432983398,0.2999630570411682,0.49890470974808326,32.29728317260742,True,True,True,01,44.60797,-67.93524,92.68,573.6,0.587356423405076,0.245259009248271,0.9232,humid,snow-influenced,medium
01031500,11,complete,0.6414082646369934,0.5539127588272095,0.08749550580978394,1.0,7.597886562347412,True,True,True,01,45.17501,-69.3147,247.8,769.05,0.587950340389816,0.291836473001958,0.9548,humid,snow-influenced,medium
01031500,29,complete,0.7361147403717041,0.5079977512359619,0.2281169891357422,0.9663198247535597,62.8685188293457,True,True,True,01,45.17501,-69.3147,247.8,769.05,0.587950340389816,0.291836473001958,0.9548,humid,snow-influenced,medium
01031500,47,complete,0.6034175157546997,0.4615744352340698,0.14184308052062988,0.8650054764512596,10.597329139709473,True,True,True,01,45.17501,-69.3147,247.8,769.05,0.587950340389816,0.291836473001958,0.9548,humid,snow-influenced,medium
01047000,11,complete,0.5574759244918823,0.4257700443267822,0.1317058801651001,1.0,21.289112091064453,True,True,True,01,44.8692,-69.9551,310.38,909.1,0.628929335570973,0.280118126940736,0.9906,humid,snow-influenced,medium
01047000,29,complete,0.6214598417282104,0.49125635623931885,0.1302034854888916,0.5251916757940854,42.248043060302734,True,True,True,01,44.8692,-69.9551,310.38,909.1,0.628929335570973,0.280118126940736,0.9906,humid,snow-influenced,medium
01047000,47,complete,0.453971803188324,0.34316956996917725,0.11080223321914673,0.42798466593647316,6.703921318054199,True,False,True,01,44.8692,-69.9551,310.38,909.1,0.628929335570973,0.280118126940736,0.9906,humid,snow-influenced,medium
01052500,11,complete,0.6122169494628906,0.6011868715286255,0.011030077934265137,0.36254107338444685,3.8777904510498047,True,True,True,01,44.87739,-71.05749,615.7,383.82,0.561914458543945,0.352698254049326,1.0,humid,snow-influenced,small
01052500,29,complete,0.6568421125411987,0.49494123458862305,0.16190087795257568,0.6366374589266156,148.56785583496094,True,True,True,01,44.87739,-71.05749,615.7,383.82,0.561914458543945,0.352698254049326,1.0,humid,snow-influenced,small
01052500,47,complete,0.45438170433044434,0.3313373923301697,0.12304431200027466,0.9367469879518072,8.852337837219238,True,False,True,01,44.87739,-71.05749,615.7,383.82,0.561914458543945,0.352698254049326,1.0,humid,snow-influenced,small
01054200,11,complete,0.46179306507110596,0.42646121978759766,0.0353318452835083,0.9838444687842278,6.530696868896484,True,False,True,01,44.39044,-70.97964,472.31,180.98,0.523306104932953,0.299641539662879,1.0,humid,snow-influenced,small
01054200,29,complete,0.4837002158164978,0.41315758228302,0.07054263353347778,0.7677984665936474,170.2762908935547,True,False,True,01,44.39044,-70.97964,472.31,180.98,0.523306104932953,0.299641539662879,1.0,humid,snow-influenced,small
01054200,47,complete,0.4116387963294983,0.390677273273468,0.020961523056030273,0.5019167579408543,8.586926460266113,True,False,True,01,44.39044,-70.97964,472.31,180.98,0.523306104932953,0.299641539662879,1.0,humid,snow-influenced,small
01055000,11,complete,0.5183446407318115,0.4848766326904297,0.033468008041381836,0.9011500547645126,3.903442859649658,True,True,True,01,44.64275,-70.58878,423.12,250.64,0.599062793707035,0.306048851694867,0.9916,humid,snow-influenced,small
01055000,29,complete,0.5678571462631226,0.45371681451797485,0.1141403317451477,0.5394304490690033,81.92446899414062,True,True,True,01,44.64275,-70.58878,423.12,250.64,0.599062793707035,0.306048851694867,0.9916,humid,snow-influenced,small
01055000,47,complete,0.5710452198982239,0.5049237608909607,0.06612145900726318,0.43099671412924423,9.042488098144531,True,True,True,01,44.64275,-70.58878,423.12,250.64,0.599062793707035,0.306048851694867,0.9916,humid,snow-influenced,small
01057000,11,complete,0.54804527759552,0.1780044436454773,0.3700408339500427,1.0,29.328205108642578,True,True,True,01,44.30399,-70.53968,215.59,190.92,0.597323619284961,0.251157672769098,0.9415,humid,snow-influenced,small
01057000,29,complete,0.6741880178451538,0.3457210063934326,0.3284670114517212,0.49863088718510407,16.09404182434082,True,True,True,01,44.30399,-70.53968,215.59,190.92,0.597323619284961,0.251157672769098,0.9415,humid,snow-influenced,small
01057000,47,complete,0.3837614059448242,0.1741173267364502,0.20964407920837402,0.42305585980284777,6.315303802490234,True,False,True,01,44.30399,-70.53968,215.59,190.92,0.597323619284961,0.251157672769098,0.9415,humid,snow-influenced,small
01073000,11,complete,0.6328579783439636,0.4789429306983948,0.15391504764556885,0.9255202628696605,13.38762092590332,True,True,True,01,43.1487,-70.96506,37.67,31.3,0.63020261356176,0.17503243505174,0.9008,humid,snow-influenced,small
01073000,29,complete,0.6293718218803406,0.3082190155982971,0.32115280628204346,0.8430996714129244,105.30558013916016,True,True,True,01,43.1487,-70.96506,37.67,31.3,0.63020261356176,0.17503243505174,0.9008,humid,snow-influenced,small
01073000,47,complete,0.6605159640312195,0.25960081815719604,0.40091514587402344,0.7565717415115005,58.04262161254883,True,True,True,01,43.1487,-70.96506,37.67,31.3,0.63020261356176,0.17503243505174,0.9008,humid,snow-influenced,small
01078000,11,complete,0.4063315987586975,-0.1685270071029663,0.5748586058616638,1.0,40.88121795654297,True,False,True,01,43.56646,-71.74786,346.92,222.46,0.613026372714384,0.23971852199071,0.9873,humid,snow-influenced,small
01078000,29,complete,0.4872499108314514,-0.02498805522918701,0.5122379660606384,0.6059693318729463,17.47317123413086,True,False,True,01,43.56646,-71.74786,346.92,222.46,0.613026372714384,0.23971852199071,0.9873,humid,snow-influenced,small
01078000,47,complete,0.4550144672393799,0.057246387004852295,0.3977680802345276,0.4997261774370208,14.536484718322754,True,False,True,01,43.56646,-71.74786,346.92,222.46,0.613026372714384,0.23971852199071,0.9873,humid,snow-influenced,small
01123000,11,complete,0.5423578023910522,0.17360681295394897,0.36875098943710327,0.952354874041621,8.632829666137695,True,True,True,01,41.67177,-72.0523,120.1,77.85,0.603082478614581,0.136053399026134,0.9141,humid,snow-influenced,small
01123000,29,complete,0.7249025106430054,0.02919989824295044,0.6957026124000549,0.9290799561883899,251.88661193847656,True,True,True,01,41.67177,-72.0523,120.1,77.85,0.603082478614581,0.136053399026134,0.9141,humid,snow-influenced,small
01123000,47,complete,0.6744588017463684,0.040799736976623535,0.6336590647697449,0.9945235487404163,171.2580108642578,True,True,True,01,41.67177,-72.0523,120.1,77.85,0.603082478614581,0.136053399026134,0.9141,humid,snow-influenced,small
01134500,11,complete,0.41843074560165405,0.37003225088119507,0.048398494720458984,0.6927710843373494,6.497708320617676,True,False,True,01,44.51172,-71.83731,450.54,195.13,0.603244622366455,0.280582089228151,0.9963,humid,snow-influenced,small
01134500,29,complete,0.6310833692550659,0.3063909411430359,0.32469242811203003,0.5421686746987951,70.33363342285156,True,True,True,01,44.51172,-71.83731,450.54,195.13,0.603244622366455,0.280582089228151,0.9963,humid,snow-influenced,small
01134500,47,complete,0.3878297209739685,0.17865192890167236,0.20917779207229614,0.9359255202628697,10.117185592651367,True,False,True,01,44.51172,-71.83731,450.54,195.13,0.603244622366455,0.280582089228151,0.9963,humid,snow-influenced,small
01137500,11,complete,0.42939507961273193,0.2915346026420593,0.1378604769706726,0.7015334063526835,8.06360912322998,True,False,True,01,44.26867,-71.63036,784.85,228.55,0.538138265121706,0.301814975818189,0.9972,humid,snow-influenced,small
01137500,29,complete,0.6246893405914307,0.3911588788032532,0.2335304617881775,0.6848302300109529,48.50458908081055,True,True,True,01,44.26867,-71.63036,784.85,228.55,0.538138265121706,0.301814975818189,0.9972,humid,snow-influenced,small
01137500,47,complete,0.3334357738494873,0.10265117883682251,0.2307845950126648,0.5298466593647316,9.045088768005371,True,False,True,01,44.26867,-71.63036,784.85,228.55,0.538138265121706,0.301814975818189,0.9972,humid,snow-influenced,small
01139000,11,complete,0.12232834100723267,0.03836590051651001,0.08396244049072266,0.9983570646221248,2.927236318588257,True,False,True,01,44.15034,-72.06509,373.34,246.33,0.674413209612946,0.246562671549799,0.9737,humid,snow-influenced,small
01139000,29,complete,0.32107770442962646,-0.31786608695983887,0.6389437913894653,0.453723986856517,17.893692016601562,True,False,True,01,44.15034,-72.06509,373.34,246.33,0.674413209612946,0.246562671549799,0.9737,humid,snow-influenced,small
01139000,47,complete,-0.4414118528366089,-1.0828094482421875,0.6413975954055786,0.8696604600219058,16.449893951416016,True,False,True,01,44.15034,-72.06509,373.34,246.33,0.674413209612946,0.246562671549799,0.9737,humid,snow-influenced,small
01139800,11,complete,-0.09559452533721924,-0.4697835445404053,0.37418901920318604,0.34446878422782035,6.724550724029541,True,False,True,01,44.09284,-72.33565,518.15,22.8,0.643915671936808,0.26232897318021,1.0,humid,snow-influenced,small
01139800,29,complete,-0.6252241134643555,-1.564218282699585,0.9389941692352295,0.7417853231106243,62.676910400390625,True,False,True,01,44.09284,-72.33565,518.15,22.8,0.643915671936808,0.26232897318021,1.0,humid,snow-influenced,small
01139800,47,complete,0.08410626649856567,-0.9108012914657593,0.994907557964325,0.5640744797371303,36.330902099609375,True,False,True,01,44.09284,-72.33565,518.15,22.8,0.643915671936808,0.26232897318021,1.0,humid,snow-influenced,small
01142500,11,complete,0.3052282929420471,0.21685636043548584,0.08837193250656128,0.13444687842278202,4.340976715087891,True,False,True,01,43.93451,-72.65788,346.62,82.17,0.647740582076158,0.252307890542821,0.9799,humid,snow-influenced,small
01142500,29,complete,0.3534296154975891,-0.5609931945800781,0.9144228100776672,0.6100766703176341,62.46677017211914,True,False,True,01,43.93451,-72.65788,346.62,82.17,0.647740582076158,0.252307890542821,0.9799,humid,snow-influenced,small
01142500,47,complete,0.10933703184127808,-0.6204692125320435,0.7298062443733215,0.7491785323110625,27.69147491455078,True,False,True,01,43.93451,-72.65788,346.62,82.17,0.647740582076158,0.252307890542821,0.9799,humid,snow-influenced,small
01144000,11,complete,0.4806075692176819,0.30679595470428467,0.17381161451339722,0.29901423877327493,6.586228370666504,True,False,True,01,43.71424,-72.41815,459.8,1790.24,0.630759674709817,0.248466348504845,0.9813,humid,snow-influenced,medium
01144000,29,complete,0.7117938995361328,0.15177786350250244,0.5600160360336304,0.583789704271632,59.08443069458008,True,True,True,01,43.71424,-72.41815,459.8,1790.24,0.630759674709817,0.248466348504845,0.9813,humid,snow-influenced,medium
01144000,47,complete,0.4041093587875366,0.07788199186325073,0.3262273669242859,0.8444687842278203,12.800041198730469,True,False,True,01,43.71424,-72.41815,459.8,1790.24,0.630759674709817,0.248466348504845,0.9813,humid,snow-influenced,medium
01162500,11,complete,0.38670235872268677,-0.17968416213989258,0.5663865208625793,0.9794633077765608,18.81074333190918,True,False,True,01,42.68259,-72.11508,310.07,49.71,0.596661752063771,0.226769184680043,0.9663,humid,snow-influenced,small
01162500,29,complete,0.4312211871147156,-0.12961721420288086,0.5608384013175964,1.0,53.37936019897461,True,False,True,01,42.68259,-72.11508,310.07,49.71,0.596661752063771,0.226769184680043,0.9663,humid,snow-influenced,small
01162500,47,complete,0.5734888911247253,-0.039872050285339355,0.6133609414100647,0.971248630887185,39.04270935058594,True,True,True,01,42.68259,-72.11508,310.07,49.71,0.596661752063771,0.226769184680043,0.9663,humid,snow-influenced,small
01169000,11,complete,0.6911195516586304,0.568747878074646,0.12237167358398438,0.975355969331873,9.827239990234375,True,True,True,01,42.63842,-72.72509,374.89,230.64,0.574450648160949,0.238972605896079,0.997,humid,snow-influenced,small
01169000,29,complete,0.6860475540161133,0.4410441517829895,0.24500340223312378,0.778751369112815,209.73245239257812,True,True,True,01,42.63842,-72.72509,374.89,230.64,0.574450648160949,0.238972605896079,0.997,humid,snow-influenced,small
01169000,47,complete,0.5263296365737915,0.3993282914161682,0.1270013451576233,0.9487951807228916,24.403968811035156,True,True,True,01,42.63842,-72.72509,374.89,230.64,0.574450648160949,0.238972605896079,0.997,humid,snow-influenced,small
