condition,seed,complete_basin_count,all_target_days_complete,material_negative_storage_basin_fraction,median_negative_storage_test_day_fraction,median_maximum_storage_deficit_mm,median_paired_nse_decline,ordered_projection_feasible_all_basins,manual_vs_official_max_abs_parity_error_mm_day,archived_zero_L365_max_abs_metric_error
zero_L365,11,24,True,1.0,0.9853504928806134,16.297106742858887,0.25624018907546997,True,0.0,0.004928806133625452
zero_L365,29,24,True,0.9583333333333334,0.9986308871851041,45.88982582092285,0.2886674702167511,True,0.0,0.025191675794085433
zero_L365,47,24,True,1.0,1.0,21.522181510925293,0.43132293224334717,True,0.0,0.0
zero_L730,11,24,True,1.0,0.9853504928806134,16.295756816864014,0.2841588258743286,True,0.0,
zero_L730,29,24,True,0.9166666666666666,0.9990416210295728,46.56900405883789,0.2883850634098053,True,0.0,
zero_L730,47,24,True,1.0,1.0,21.52235507965088,0.49600905179977417,True,0.0,
zero_L1095,11,24,True,1.0,0.9853504928806134,16.295673847198486,0.28416022658348083,True,0.0,
zero_L1095,29,24,True,0.9166666666666666,0.9990416210295728,46.63495635986328,0.28815072774887085,True,0.0,
zero_L1095,47,24,True,1.0,1.0,21.52235507965088,0.4961625337600708,True,0.0,
smax_L365,11,24,True,1.0,0.9852135815991238,16.289689540863037,0.3215486407279968,True,0.0,
smax_L365,29,24,True,0.9166666666666666,0.9987677984665937,43.330400466918945,0.2902411222457886,True,0.0,
smax_L365,47,24,True,1.0,1.0,21.504892349243164,0.5049729943275452,True,0.0,
