seed,basin,negative_storage_test_day_fraction,material_negative_storage
11,01022500,0.6692223439211391,True
11,01031500,1.0,True
11,01047000,1.0,True
11,01052500,0.36254107338444685,True
11,01054200,0.9838444687842278,True
11,01055000,0.9011500547645126,True
11,01057000,1.0,True
11,01073000,0.9255202628696605,True
11,01078000,1.0,True
11,01123000,0.952354874041621,True
11,01134500,0.6927710843373494,True
11,01137500,0.7015334063526835,True
11,01139000,0.9983570646221248,True
11,01139800,0.34446878422782035,True
11,01142500,0.13444687842278202,True
11,01144000,0.29901423877327493,True
11,01162500,0.9794633077765608,True
11,01169000,0.975355969331873,True
11,01170100,0.4424972617743702,True
11,01181000,0.9110076670317634,True
11,01187300,0.3143483023001095,True
11,01195100,0.9750821467688937,True
11,04296000,0.056681270536692224,True
11,01333000,0.8463855421686747,True
11,01350000,0.9917853231106243,True
11,01350080,0.9926067907995619,True
11,01350140,0.9975355969331873,True
11,01365000,0.9964403066812705,True
11,01411300,1.0,True
11,01413500,0.9958926615553122,True
11,01414500,0.9978094194961665,True
11,01415000,0.9978094194961665,True
11,01423000,0.9906900328587076,True
11,01435000,0.9958926615553122,True
11,01439500,0.9846659364731654,True
11,01440000,0.9055312157721797,True
11,01440400,0.985487404162103,True
11,01451800,0.8151697699890471,True
11,01466500,1.0,True
11,01484100,1.0,True
11,01487000,1.0,True
11,01491000,1.0,True
11,01510000,0.976998904709748,True
11,01516500,0.9756297918948521,True
11,01518862,0.9824753559693319,True
11,01532000,0.9444140197152245,True
11,01539000,0.933461117196057,True
11,01542810,0.9980832420591457,True
11,01543000,0.9969879518072289,True
11,01543500,0.9967141292442497,True
11,01544500,0.9972617743702081,True
11,01545600,0.9958926615553122,True
11,01547700,0.9937020810514786,True
11,01548500,0.9934282584884995,True
11,01549500,0.9556407447973713,True
11,01550000,0.9909638554216867,True
11,01552000,0.9901423877327492,True
11,01552500,0.9928806133625411,True
11,01557500,0.9901423877327492,True
11,01567500,0.7357612267250822,True
11,01568000,0.4408543263964951,True
11,01580000,0.8428258488499453,True
11,01583500,0.7782037239868566,True
11,01586610,0.7784775465498357,True
11,01591400,0.9123767798466593,True
11,01594950,0.9994523548740416,True
11,01596500,0.9958926615553122,True
11,01605500,0.1692223439211391,True
11,01606500,0.8570646221248631,True
11,01632000,0.968236582694414,True
11,01632900,0.5747535596933188,True
11,01634500,0.921960569550931,True
11,01638480,0.6694961664841182,True
11,01639500,0.6114457831325302,True
11,01644000,0.7620481927710844,True
11,01664000,0.52026286966046,True
11,01666500,1.0,True
11,01667500,0.9991785323110625,True
11,01669000,0.9967141292442497,True
11,01669520,0.9964403066812705,True
