seed,basin,original_nse,ordered_feasible_nse,paired_nse_decline,nse_declines
11,01022500,0.5939282178878784,0.3622589111328125,0.23166930675506592,True
11,01031500,0.6414082646369934,0.5539127588272095,0.08749550580978394,True
11,01047000,0.5574759244918823,0.4257700443267822,0.1317058801651001,True
11,01052500,0.6122169494628906,0.6011868715286255,0.011030077934265137,True
11,01055000,0.5183446407318115,0.4848766326904297,0.033468008041381836,True
11,01057000,0.54804527759552,0.1780044436454773,0.3700408339500427,True
11,01073000,0.6328579783439636,0.4789429306983948,0.15391504764556885,True
11,01123000,0.5423578023910522,0.17360681295394897,0.36875098943710327,True
11,01169000,0.6911195516586304,0.568747878074646,0.12237167358398438,True
11,01181000,0.6773389577865601,0.5767651796340942,0.10057377815246582,True
11,01187300,0.6305160522460938,0.47834354639053345,0.1521725058555603,True
11,01195100,0.5858133435249329,0.15950512886047363,0.42630821466445923,True
11,01350000,0.6916072368621826,0.562915563583374,0.1286916732788086,True
11,01350140,0.5359668731689453,0.1500440239906311,0.3859228491783142,True
11,01365000,0.6688199043273926,0.548040509223938,0.12077939510345459,True
11,01413500,0.5842533111572266,0.16082537174224854,0.423427939414978,True
11,01414500,0.5532452464103699,0.20611709356307983,0.34712815284729004,True
11,01415000,0.5439510345458984,0.08563756942749023,0.4583134651184082,True
11,01423000,0.6173168420791626,0.36985325813293457,0.24746358394622803,True
11,01435000,0.6392936110496521,0.5822272300720215,0.057066380977630615,True
11,01439500,0.588446855545044,0.4293516278266907,0.15909522771835327,True
11,01440000,0.6011442542076111,0.17492276430130005,0.42622148990631104,True
11,01440400,0.615957498550415,0.541332483291626,0.07462501525878906,True
11,01510000,0.6883881092071533,0.48214268684387207,0.20624542236328125,True
11,01539000,0.5613698363304138,0.49365168809890747,0.06771814823150635,True
11,01543000,0.5608437657356262,0.5359060764312744,0.024937689304351807,True
11,01544500,0.5623515844345093,0.42852532863616943,0.13382625579833984,True
11,01545600,0.5264978408813477,0.22141575813293457,0.3050820827484131,True
11,01547700,0.5564571619033813,0.43145817518234253,0.12499898672103882,True
11,01548500,0.6172385215759277,0.4346666932106018,0.18257182836532593,True
11,01549500,0.5177779197692871,0.141157865524292,0.3766200542449951,True
11,01550000,0.6403216123580933,0.3644164800643921,0.27590513229370117,True
11,01552000,0.6210000514984131,0.5010900497436523,0.11991000175476074,True
11,01552500,0.5478495359420776,0.5295085310935974,0.018341004848480225,True
11,01557500,0.6485809087753296,0.5054618716239929,0.14311903715133667,True
11,01596500,0.6728788018226624,0.3541162610054016,0.31876254081726074,True
11,01632900,0.5552272796630859,0.3483842611312866,0.20684301853179932,True
11,02013000,0.559016227722168,0.17785096168518066,0.3811652660369873,True
11,02014000,0.5089008212089539,0.22283101081848145,0.2860698103904724,True
11,02017500,0.5421899557113647,0.2277500033378601,0.31443995237350464,True
11,02018000,0.5239663124084473,0.3212171792984009,0.2027491331100464,True
11,02027000,0.5486665964126587,0.26960402727127075,0.27906256914138794,True
11,02028500,0.5813956260681152,0.2183559536933899,0.36303967237472534,True
11,02111180,0.6499199867248535,-0.390846848487854,1.0407668352127075,True
11,02137727,0.7242934703826904,0.34214162826538086,0.38215184211730957,True
11,02140991,0.6097508072853088,0.39062970876693726,0.21912109851837158,True
11,02143000,0.5380274057388306,0.11197757720947266,0.4260498285293579,True
11,02143040,0.5737137198448181,0.41724085807800293,0.15647286176681519,True
11,02149000,0.6382606029510498,-0.579824686050415,1.2180852890014648,True
11,02152100,0.5016531944274902,0.24151474237442017,0.26013845205307007,True
11,02299950,0.5706695318222046,-0.2991609573364258,0.8698304891586304,True
11,02361000,0.697683572769165,-1.0449800491333008,1.7426636219024658,True
11,02372250,0.5106077790260315,-1.0075829029083252,1.5181906819343567,True
11,02415000,0.5296496152877808,0.026226580142974854,0.5034230351448059,True
11,02427250,0.5296566486358643,0.618741512298584,-0.08908486366271973,False
11,02472000,0.7434073686599731,-0.03623950481414795,0.7796468734741211,True
11,02479155,0.6471976041793823,-0.034276485443115234,0.6814740896224976,True
11,02481000,0.724220871925354,0.4006842374801636,0.32353663444519043,True
11,02481510,0.7865893840789795,0.17723548412322998,0.6093538999557495,True
11,04015330,0.5519441962242126,0.3252507448196411,0.22669345140457153,True
11,04027000,0.6778683066368103,-0.048404574394226074,0.7262728810310364,True
11,04197170,0.503485918045044,0.19925934076309204,0.3042265772819519,True
11,04216418,0.5101984739303589,0.2276080846786499,0.282590389251709,True
11,04221000,0.5786303877830505,0.19096320867538452,0.387667179107666,True
11,04224775,0.5055173635482788,-0.30413830280303955,0.8096556663513184,True
11,04233000,0.5880550146102905,-0.12243390083312988,0.7104889154434204,True
11,03010655,0.5540081262588501,0.2654908299446106,0.2885172963142395,True
11,03011800,0.6087180972099304,0.4270464777946472,0.1816716194152832,True
11,03015500,0.5061638355255127,0.4047551155090332,0.10140872001647949,True
11,03026500,0.5898264646530151,0.41607779264450073,0.1737486720085144,True
11,03028000,0.6061127185821533,0.5325695276260376,0.07354319095611572,True
11,03070500,0.5288755297660828,0.5405054092407227,-0.011629879474639893,False
11,03076600,0.5155516862869263,0.18365854024887085,0.3318931460380554,True
11,03078000,0.6174525022506714,0.47015029191970825,0.14730221033096313,True
11,03180500,0.58564293384552,0.5010477304458618,0.0845952033996582,True
11,03182500,0.585620105266571,0.519460916519165,0.066159188747406,True
11,03241500,0.7609720826148987,-0.6124693155288696,1.3734413981437683,True
11,03285000,0.5491844415664673,0.3636847734451294,0.1854996681213379,True
11,03291780,0.5657591223716736,0.3502621650695801,0.2154969573020935,True
11,03340800,0.7235379219055176,-0.09658622741699219,0.8201241493225098,True
11,03346000,0.615659236907959,-0.12741303443908691,0.7430722713470459,True
11,03366500,0.7713272571563721,0.31191158294677734,0.4594156742095947,True
11,03456500,0.6908963918685913,0.5361937284469604,0.15470266342163086,True
11,03463300,0.6151107549667358,0.6474196910858154,-0.03230893611907959,False
11,03479000,0.6472965478897095,0.4178032875061035,0.22949326038360596,True
11,03500240,0.5145338773727417,-1.2813994884490967,1.7959333658218384,True
11,05454000,0.642568051815033,-0.9757872819900513,1.6183553338050842,True
11,05495000,0.5085244178771973,0.1737607717514038,0.33476364612579346,True
11,05495500,0.6083959341049194,0.005480349063873291,0.6029155850410461,True
11,05501000,0.7098063826560974,0.1680612564086914,0.541745126247406,True
11,05556500,0.5811123847961426,-1.5104968547821045,2.091609239578247,True
11,05591550,0.5487315654754639,0.0626794695854187,0.48605209589004517,True
11,05592050,0.6099667549133301,0.029139697551727295,0.5808270573616028,True
11,05592575,0.5756868124008179,0.2108287811279297,0.3648580312728882,True
11,05595730,0.6798478364944458,0.26093119382858276,0.41891664266586304,True
11,06311000,0.5510141253471375,0.3988003134727478,0.15221381187438965,True
11,06614800,0.5315619707107544,0.5337281227111816,-0.002166152000427246,False
11,06622700,0.6583573818206787,0.6227877140045166,0.03556966781616211,True
11,06623800,0.6203519701957703,0.5551279187202454,0.0652240514755249,True
11,06632400,0.7108117341995239,0.6722208857536316,0.038590848445892334,True
11,06903400,0.5340627431869507,-0.26174795627593994,0.7958106994628906,True
11,06918460,0.5378419756889343,-0.896220326423645,1.4340623021125793,True
11,06919500,0.5072420835494995,0.03487050533294678,0.47237157821655273,True
11,06921070,0.7371419072151184,0.029663681983947754,0.7074782252311707,True
11,06921200,0.6137411594390869,0.07780838012695312,0.5359327793121338,True
11,07066000,0.56001877784729,0.2118433713912964,0.34817540645599365,True
11,07083000,0.7289714813232422,0.6483063697814941,0.08066511154174805,True
11,07197000,0.5702652335166931,0.09343218803405762,0.4768330454826355,True
11,07261000,0.5577602386474609,0.5195717215538025,0.03818851709365845,True
11,07346045,0.5439537763595581,-1.420701503753662,1.9646552801132202,True
11,08070000,0.5020920038223267,-1.2504627704620361,1.7525547742843628,True
11,08171300,0.5994358062744141,-0.06603872776031494,0.665474534034729,True
11,09066000,0.6571245193481445,0.5851901173591614,0.07193440198898315,True
11,09352900,0.5995486378669739,0.6357680559158325,-0.03621941804885864,False
11,09510200,0.7056269645690918,0.47447317838668823,0.23115378618240356,True
11,12010000,0.7983886003494263,0.8028841018676758,-0.004495501518249512,False
11,12013500,0.855472207069397,0.8191080689430237,0.03636413812637329,True
11,12025700,0.7363628149032593,0.7405586242675781,-0.004195809364318848,False
11,12040500,0.6963308453559875,0.746332049369812,-0.05000120401382446,False
11,12041200,0.5129808783531189,0.6432023644447327,-0.13022148609161377,False
11,12054000,0.6158545017242432,0.6417694687843323,-0.02591496706008911,False
11,12056500,0.5071192383766174,0.5510992407798767,-0.04398000240325928,False
11,12082500,0.6780049800872803,0.6821020841598511,-0.004097104072570801,False
11,12115000,0.6064870357513428,0.5935897827148438,0.012897253036499023,True
11,12117000,0.6843324899673462,0.5931472182273865,0.09118527173995972,True
11,12143600,0.6405057311058044,0.6392325162887573,0.0012732148170471191,True
11,12144000,0.72193443775177,0.7202860713005066,0.0016483664512634277,True
11,12145500,0.7815653681755066,0.7352715730667114,0.046293795108795166,True
11,12147500,0.714743971824646,0.7541236281394958,-0.039379656314849854,False
11,12167000,0.6942096948623657,0.6984492540359497,-0.004239559173583984,False
11,12447390,0.5822515487670898,0.5053754448890686,0.07687610387802124,True
11,13011500,0.775296688079834,0.7629002332687378,0.012396454811096191,True
11,13011900,0.8582668304443359,0.8415743708610535,0.01669245958328247,True
11,13240000,0.5869054794311523,0.5866070985794067,0.00029838085174560547,True
11,14137000,0.6852220296859741,0.5685395002365112,0.11668252944946289,True
11,14138800,0.7696971893310547,0.7580951452255249,0.011602044105529785,True
11,14138900,0.777545690536499,0.808085560798645,-0.030539870262145996,False
11,14139800,0.8379602432250977,0.822758674621582,0.015201568603515625,True
11,14141500,0.7658942937850952,0.7136552333831787,0.052239060401916504,True
11,14158790,0.6459176540374756,0.6008333563804626,0.04508429765701294,True
11,14166500,0.6049861907958984,0.25294697284698486,0.3520392179489136,True
11,14182500,0.7281367778778076,0.7482930421829224,-0.020156264305114746,False
11,14185000,0.8211356401443481,0.7358706593513489,0.08526498079299927,True
11,14185900,0.7703247666358948,0.7746081352233887,-0.0042833685874938965,False
11,14187000,0.7941530346870422,0.6807788014411926,0.11337423324584961,True
11,14216500,0.5318824648857117,0.48879265785217285,0.04308980703353882,True
11,14222500,0.8026524782180786,0.6992192268371582,0.10343325138092041,True
11,14236200,0.7842437624931335,0.7905561923980713,-0.006312429904937744,False
11,14301000,0.8643569946289062,0.7525666356086731,0.11179035902023315,True
11,14303200,0.75547194480896,0.7344853281974792,0.020986616611480713,True
11,14305500,0.8697729110717773,0.8571365475654602,0.012636363506317139,True
11,14306340,0.6455014944076538,0.523730993270874,0.12177050113677979,True
11,14306500,0.6738388538360596,0.037239134311676025,0.6365997195243835,True
11,14309500,0.8017605543136597,0.6033361554145813,0.19842439889907837,True
11,14325000,0.8044813871383667,0.7503136396408081,0.054167747497558594,True
11,14400000,0.6099807024002075,0.6478021144866943,-0.037821412086486816,False
11,11143000,0.550624668598175,0.5496084690093994,0.0010161995887756348,True
11,11148900,0.6665091514587402,0.5168623328208923,0.1496468186378479,True
11,11264500,0.7451615333557129,0.7338837385177612,0.01127779483795166,True
11,11266500,0.6530143022537231,0.6394093036651611,0.013604998588562012,True
11,11468500,0.781330943107605,0.7382843494415283,0.04304659366607666,True
11,11476600,0.7106952667236328,0.7207704782485962,-0.010075211524963379,False
11,11478500,0.5380080938339233,0.6616256833076477,-0.12361758947372437,False
11,11480390,0.5999903678894043,0.6269863247871399,-0.026995956897735596,False
11,11481200,0.5365313291549683,0.6431688070297241,-0.10663747787475586,False
11,11482500,0.5626032948493958,0.6266285181045532,-0.06402522325515747,False
11,11523200,0.5450129508972168,0.5594724416732788,-0.014459490776062012,False
11,11528700,0.7291160225868225,0.40025728940963745,0.32885873317718506,True
11,11532500,0.7755517363548279,0.7895481586456299,-0.013996422290802002,False
29,01022500,0.7284671068191528,0.44190293550491333,0.2865641713142395,True
29,01031500,0.7361147403717041,0.5079977512359619,0.2281169891357422,True
29,01047000,0.6214598417282104,0.49125635623931885,0.1302034854888916,True
29,01052500,0.6568421125411987,0.49494123458862305,0.16190087795257568,True
29,01055000,0.5678571462631226,0.45371681451797485,0.1141403317451477,True
29,01057000,0.6741880178451538,0.3457210063934326,0.3284670114517212,True
29,01073000,0.6293718218803406,0.3082190155982971,0.32115280628204346,True
29,01123000,0.7249025106430054,0.02919989824295044,0.6957026124000549,True
29,01134500,0.6310833692550659,0.3063909411430359,0.32469242811203003,True
29,01137500,0.6246893405914307,0.3911588788032532,0.2335304617881775,True
29,01144000,0.7117938995361328,0.15177786350250244,0.5600160360336304,True
29,01169000,0.6860475540161133,0.4410441517829895,0.24500340223312378,True
29,01170100,0.5638347864151001,0.22877663373947144,0.33505815267562866,True
29,01181000,0.7059699296951294,0.43701785802841187,0.26895207166671753,True
29,01187300,0.6848266124725342,0.30276525020599365,0.3820613622665405,True
29,01195100,0.64827561378479,0.03935962915420532,0.6089159846305847,True
29,01350000,0.6792243123054504,0.2489863634109497,0.43023794889450073,True
29,01350140,0.5667681694030762,-0.22587919235229492,0.7926473617553711,True
29,01365000,0.6203020811080933,0.18958711624145508,0.4307149648666382,True
29,01413500,0.525906503200531,-0.6599839925765991,1.1858904957771301,True
29,01414500,0.5130043625831604,-0.3754434585571289,0.8884478211402893,True
29,01415000,0.5260168313980103,-0.6364126205444336,1.1624294519424438,True
29,01423000,0.556106448173523,-0.5924279689788818,1.1485344171524048,True
29,01435000,0.6333789825439453,0.33338719606399536,0.29999178647994995,True
29,01440000,0.6354035139083862,-0.35505998134613037,0.9904634952545166,True
29,01440400,0.552923858165741,0.07461059093475342,0.47831326723098755,True
29,01545600,0.5127362012863159,-0.7453538179397583,1.2580900192260742,True
29,01549500,0.5281435251235962,-0.7120814323425293,1.2402249574661255,True
29,01550000,0.6093350648880005,-0.34007298946380615,0.9494080543518066,True
29,01552500,0.5044428110122681,0.28997015953063965,0.21447265148162842,True
29,01557500,0.5158174633979797,-0.03419792652130127,0.550015389919281,True
29,01567500,0.509620189666748,-0.25808262825012207,0.7677028179168701,True
29,01568000,0.5658846497535706,-0.1040797233581543,0.6699643731117249,True
29,01596500,0.6654795408248901,-0.2199263572692871,0.8854058980941772,True
29,01632900,0.6077544689178467,-0.2386711835861206,0.8464256525039673,True
29,01664000,0.6592073440551758,-1.1070404052734375,1.7662477493286133,True
29,01666500,0.5353430509567261,-0.5983943939208984,1.1337374448776245,True
29,01667500,0.5770648717880249,-0.8022962808609009,1.3793611526489258,True
29,02013000,0.5564038753509521,-0.9947261810302734,1.5511300563812256,True
29,02014000,0.5120524168014526,-1.1134932041168213,1.625545620918274,True
29,02028500,0.5769011974334717,-0.4927283525466919,1.0696295499801636,True
29,02137727,0.7024624347686768,-0.21889984607696533,0.9213622808456421,True
29,02140991,0.5810308456420898,-0.3101154565811157,0.8911463022232056,True
29,02143040,0.5323940515518188,-0.078055739402771,0.6104497909545898,True
29,02152100,0.5612589120864868,-0.7209372520446777,1.2821961641311646,True
29,02361000,0.5513590574264526,-1.0100953578948975,1.56145441532135,True
29,02371500,0.6606765985488892,-1.6147522926330566,2.275428891181946,True
29,02372250,0.6306619048118591,-1.0075271129608154,1.6381890177726746,True
29,02384540,0.5457862615585327,-0.37593507766723633,0.921721339225769,True
29,02395120,0.5461251735687256,-0.47317826747894287,1.0193034410476685,True
29,02415000,0.6535786986351013,-0.7092493772506714,1.3628280758857727,True
29,02464000,0.6331987977027893,-0.006170749664306641,0.639369547367096,True
29,02464360,0.6023404598236084,-0.3802746534347534,0.9826151132583618,True
29,02469800,0.6595185995101929,-0.14661026000976562,0.8061288595199585,True
29,02479155,0.5881763100624084,-0.001155853271484375,0.5893321633338928,True
29,02481000,0.6633963584899902,0.12286162376403809,0.5405347347259521,True
29,02481510,0.6516924500465393,-0.4259289503097534,1.0776214003562927,True
29,04015330,0.5212616324424744,0.4959638714790344,0.02529776096343994,True
29,04027000,0.5841050148010254,-0.645201563835144,1.2293065786361694,True
29,04197100,0.5608173608779907,-0.680511474609375,1.2413288354873657,True
29,04197170,0.6977419257164001,-0.06853556632995605,0.7662774920463562,True
29,04256000,0.5576583743095398,0.1563209891319275,0.4013373851776123,True
29,03011800,0.5478556156158447,-0.13487160205841064,0.6827272176742554,True
29,03050000,0.5792449712753296,0.062419593334198,0.5168253779411316,True
29,03069500,0.6900303363800049,0.2954336404800415,0.3945966958999634,True
29,03078000,0.5567318201065063,0.07591956853866577,0.4808122515678406,True
29,03180500,0.6743029356002808,0.07836878299713135,0.5959341526031494,True
29,03182500,0.6587297916412354,-0.07641112804412842,0.7351409196853638,True
29,03186500,0.5920162200927734,0.4098663926124573,0.18214982748031616,True
29,03238500,0.5637568235397339,0.3686549663543701,0.19510185718536377,True
29,03241500,0.6799339056015015,-1.2905213832855225,1.970455288887024,True
29,03285000,0.6124355792999268,0.42705029249191284,0.18538528680801392,True
29,03291780,0.5359330177307129,0.13912153244018555,0.39681148529052734,True
29,03346000,0.5486048460006714,-0.6055315732955933,1.1541364192962646,True
29,03366500,0.8212285041809082,-0.08138012886047363,0.9026086330413818,True
29,03456500,0.6456742882728577,0.3742893934249878,0.2713848948478699,True
29,03463300,0.5144567489624023,0.6082628965377808,-0.09380614757537842,False
29,03479000,0.7077963948249817,0.17396670579910278,0.5338296890258789,True
29,03488000,0.5494778752326965,-0.7837706804275513,1.3332485556602478,True
29,03604000,0.5246155858039856,-0.06888258457183838,0.593498170375824,True
29,05454000,0.5753599405288696,-1.9567067623138428,2.5320667028427124,True
29,05495500,0.6312389373779297,-0.630020260810852,1.2612591981887817,True
29,05501000,0.5911924242973328,-0.03583574295043945,0.6270281672477722,True
29,05507600,0.5508663654327393,0.42540431022644043,0.12546205520629883,True
29,05508805,0.631279468536377,0.2461414337158203,0.38513803482055664,True
29,05525500,0.5111535787582397,-2.781576156616211,3.2927297353744507,True
29,05556500,0.5444729328155518,-2.5812222957611084,3.12569522857666,True
29,05593575,0.6980018019676208,-0.012052178382873535,0.7100539803504944,True
29,05595730,0.7312902212142944,0.12257552146911621,0.6087146997451782,True
29,06614800,0.6161143183708191,0.6175427436828613,-0.0014284253120422363,False
29,06622700,0.6480615139007568,0.7077308893203735,-0.0596693754196167,False
29,06623800,0.6456334590911865,0.7104231119155884,-0.06478965282440186,False
29,06632400,0.715238094329834,0.726725161075592,-0.011487066745758057,False
29,06917000,0.5978844165802002,0.4808031916618347,0.11708122491836548,True
29,06918460,0.5524382591247559,-1.0348191261291504,1.5872573852539062,True
29,06919500,0.5365622639656067,-0.5632628202438354,1.0998250842094421,True
29,06921070,0.5466207265853882,0.13524460792541504,0.41137611865997314,True
29,07057500,0.5469473600387573,-2.049713134765625,2.5966604948043823,True
29,07066000,0.6713418960571289,-0.04539942741394043,0.7167413234710693,True
29,07083000,0.8066163063049316,0.8257323503494263,-0.01911604404449463,False
29,07145700,0.5671958923339844,0.22945261001586914,0.33774328231811523,True
29,07197000,0.7301284074783325,-0.38905835151672363,1.1191867589950562,True
29,07261000,0.5899628400802612,0.3846438527107239,0.20531898736953735,True
29,08070000,0.5579355955123901,-1.8260414600372314,2.3839770555496216,True
29,08070200,0.5092723369598389,-3.978111743927002,4.487384080886841,True
29,08158700,0.5632327795028687,-2.199122428894043,2.7623552083969116,True
29,08164300,0.5618172883987427,-0.8143314123153687,1.3761487007141113,True
29,08171300,0.6503699421882629,-0.0207366943359375,0.6711066365242004,True
29,08198500,0.5904104113578796,0.35283392667770386,0.23757648468017578,True
29,09035800,0.7880493402481079,0.05880218744277954,0.7292471528053284,True
29,09035900,0.850561797618866,0.8329401016235352,0.01762169599533081,True
29,09065500,0.5832453966140747,0.7556153535842896,-0.17236995697021484,False
29,09066000,0.6954724788665771,0.6660747528076172,0.02939772605895996,True
29,09066200,0.5644199848175049,0.571941614151001,-0.007521629333496094,False
29,09066300,0.601680338382721,0.5126319527626038,0.08904838562011719,True
29,09107000,0.8039896488189697,0.6778872013092041,0.12610244750976562,True
29,09352900,0.5150400400161743,0.6383304595947266,-0.12329041957855225,False
29,12010000,0.7554271221160889,0.7469969987869263,0.008430123329162598,True
29,12013500,0.839329183101654,0.7861213684082031,0.05320781469345093,True
